epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3166,1.15351,4.03644,1.16698,0.26912,0.15756,0.08342,0.05716,1.11633,2.48597,1.09759,0.00032971,0.00032971,0.00032971
2,78.2989,1.25001,2.30194,1.19085,0.28121,0.19433,0.08046,0.05219,1.27571,2.71727,1.18705,0.000656479,0.000656479,0.000656479
3,115.015,1.34649,2.30196,1.23947,0.5438,0.14177,0.06671,0.04113,1.32207,3.55788,1.20921,0.000976649,0.000976649,0.000976649
4,152.137,1.34983,2.24691,1.25126,0.243,0.20846,0.07307,0.04832,1.26375,2.66121,1.22219,0.0009703,0.0009703,0.0009703
5,196.672,1.31595,2.22709,1.23088,0.17848,0.19591,0.09402,0.06145,1.2913,2.52201,1.20995,0.0009604,0.0009604,0.0009604
6,233.174,1.30859,2.17047,1.22671,0.47065,0.17352,0.10088,0.06846,1.26448,2.28769,1.18403,0.0009505,0.0009505,0.0009505
7,289.282,1.32154,2.1439,1.23999,0.29951,0.18824,0.09124,0.06062,1.25917,2.51902,1.19956,0.0009406,0.0009406,0.0009406
8,327.095,1.24622,2.0256,1.19681,0.31103,0.17046,0.11538,0.07548,1.23644,2.17992,1.17349,0.0009307,0.0009307,0.0009307
9,392.922,1.2485,2.00604,1.19656,0.45684,0.20196,0.10807,0.07375,1.15984,2.31089,1.14405,0.0009208,0.0009208,0.0009208
10,430.119,1.21281,1.97798,1.18672,0.47828,0.17867,0.10371,0.07398,1.15928,2.16689,1.1562,0.0009109,0.0009109,0.0009109
11,466.981,1.20149,1.98043,1.17509,0.44551,0.17042,0.11354,0.07524,1.1924,2.23195,1.16529,0.000901,0.000901,0.000901
12,503.753,1.18812,1.90261,1.16131,0.33838,0.17523,0.11974,0.08199,1.15835,2.07182,1.13019,0.0008911,0.0008911,0.0008911
13,540.674,1.12521,1.84945,1.14557,0.12854,0.2238,0.12165,0.08691,1.16724,2.06736,1.1426,0.0008812,0.0008812,0.0008812
14,577.948,1.12417,1.81725,1.13939,0.37655,0.16932,0.12462,0.08651,1.14563,2.16028,1.14656,0.0008713,0.0008713,0.0008713
15,614.887,1.11731,1.80012,1.13446,0.15402,0.26576,0.12441,0.08608,1.13283,2.00326,1.12887,0.0008614,0.0008614,0.0008614
16,651.836,1.11851,1.80986,1.13883,0.36427,0.19273,0.12893,0.09179,1.15507,2.1125,1.15209,0.0008515,0.0008515,0.0008515
17,688.739,1.10865,1.78472,1.12694,0.19201,0.22164,0.14985,0.10798,1.1379,2.05517,1.14237,0.0008416,0.0008416,0.0008416
18,725.703,1.1051,1.72963,1.11695,0.33014,0.2056,0.13939,0.09809,1.13736,2.1011,1.14578,0.0008317,0.0008317,0.0008317
19,762.51,1.07084,1.74058,1.10948,0.16367,0.23365,0.12976,0.09108,1.0934,2.04152,1.11455,0.0008218,0.0008218,0.0008218
20,799.69,1.04051,1.67108,1.0908,0.18072,0.22494,0.13652,0.09725,1.08696,2.03239,1.11476,0.0008119,0.0008119,0.0008119
21,861.029,1.04101,1.63223,1.08396,0.13752,0.2472,0.12631,0.09115,1.1067,2.0715,1.11822,0.000802,0.000802,0.000802
22,897.66,1.02733,1.59259,1.09561,0.19249,0.2221,0.13392,0.09234,1.11396,2.03033,1.13037,0.0007921,0.0007921,0.0007921
23,947.67,1.05205,1.61302,1.09251,0.20511,0.26637,0.15051,0.10504,1.08619,1.98142,1.10742,0.0007822,0.0007822,0.0007822
24,984.567,1.01802,1.5569,1.07606,0.21857,0.24047,0.13464,0.09452,1.10053,2.05684,1.13453,0.0007723,0.0007723,0.0007723
